,Unnamed: 0,Unnamed: 0.1,response,answer_time,duration_decision,duration_delay,duration_intro,stimulus,signal_probability,trial,volume,time_stim,time_resp,subject,session,run,rt,correct,hit,fa,miss,cr,blink,pupil_stim_1s,pupil_resp_1s,subj_idx
0,3,3,1,1.9996309280395508,2.5,3.4324548603500005,0.0,1,70,3,0.04,419.75,421.769,ab,2,5,2.019000000000005,1,1,0,0,0,False,7.190850013246211,12.597067086153872,0
1,4,4,1,1.6323819160461426,2.5,3.0485736046900005,0.0,1,70,4,0.04,424.853,426.506,ab,2,5,1.6529999999999632,1,1,0,0,0,False,16.470453263260133,20.99160926807481,0
2,5,5,1,1.817383050918579,2.5,3.04984822408,0.0,1,70,5,0.04,429.585,431.421,ab,2,5,1.8360000000000127,1,1,0,0,0,False,18.795378508004067,1.3547078231693033,0
3,6,6,1,1.683337926864624,2.5,3.91571514061,0.0,1,70,6,0.04,435.369,437.071,ab,2,5,1.7019999999999411,1,1,0,0,0,False,-6.104924163913208,18.38484473042942,0
4,7,7,0,1.7698588371276855,2.5,3.5936445198,0.0,0,70,7,0.04,440.703,442.49,ab,2,5,1.7869999999999775,1,0,0,0,1,False,2.3948073771726244,8.579729529479135,0
5,8,8,1,1.400148868560791,2.5,3.91371005496,0.0,1,70,8,0.04,446.439,447.859,ab,2,5,1.4200000000000157,1,1,0,0,0,False,24.974480713070495,5.702550804499436,0
6,9,9,1,1.4031829833984375,2.5,3.44848212127,0.0,1,70,9,0.04,451.338,452.763,ab,2,5,1.4250000000000114,1,1,0,0,0,False,18.829212782299205,25.432565548902318,0
7,10,10,0,1.6664090156555176,2.5,3.9211869665,0.0,0,70,10,0.04,456.727,458.411,ab,2,5,1.684000000000026,1,0,0,0,1,False,-2.6369949843223197,24.230627188441954,0
8,11,11,1,1.399338960647583,2.5,3.82941617308,0.0,1,70,11,0.04,462.275,463.698,ab,2,5,1.4230000000000589,1,1,0,0,0,False,9.84381017397959,20.197733860435882,0
9,12,12,0,1.6671950817108154,2.5,3.1298465395,0.0,0,70,12,0.04,466.862,468.547,ab,2,5,1.6850000000000025,1,0,0,0,1,False,12.81565065474651,5.009852424949625,0
