,subj_idx,variable,value,bin
0,0,v,1.4560273889983475,
1,1,v,1.028280405454417,
2,2,v,1.610294994114244,
3,3,v,1.1194035159211055,
4,4,v,0.8205528292910919,
5,5,v,3.8692206703375134,
6,6,v,1.4157770281512392,
7,7,v,1.3063108991737586,
8,8,v,4.99993851104894,
9,9,v,1.110147188776163,
10,10,v,1.5376404327420239,
11,11,v,0.8299380449567154,
12,12,v,0.7948762612885033,
13,13,v,0.889166333506165,
14,14,v,0.7176960774461497,
15,0,b,0.2734043793192866,
16,1,b,0.3473297323790517,
17,2,b,0.3719710546774566,
18,3,b,0.3294822825544736,
19,4,b,0.21909600487160508,
20,5,b,-0.24233868360979496,
21,6,b,0.2797807953839581,
22,7,b,0.4898442100751605,
23,8,b,0.08894141153297563,
24,9,b,0.5375815190391038,
25,10,b,1.358539876604392,
26,11,b,0.37911010938169404,
27,12,b,1.557639286231462,
28,13,b,0.8041278045678724,
29,14,b,0.6912783689409093,
30,0,noise,1.0,
31,1,noise,1.0,
32,2,noise,1.0,
33,3,noise,1.0,
34,4,noise,1.0,
35,5,noise,1.0,
36,6,noise,1.0,
37,7,noise,1.0,
38,8,noise,1.0,
39,9,noise,1.0,
40,10,noise,1.0,
41,11,noise,1.0,
42,12,noise,1.0,
43,13,noise,1.0,
44,14,noise,1.0,
45,0,a,0.8272317216707195,
46,1,a,0.825680744364123,
47,2,a,0.9079475692079797,
48,3,a,0.7929569483180965,
49,4,a,0.8727924019568956,
50,5,a,4.842372752325957,
51,6,a,0.8417934080461316,
52,7,a,0.5937691118730772,
53,8,a,2.6515761035170184,
54,9,a,0.76510051889582,
55,10,a,0.7803088378992313,
56,11,a,0.8363687373334703,
57,12,a,0.7459752085238129,
58,13,a,0.6257305040709835,
59,14,a,0.9530154646012918,
60,0,z,0.4640129468911555,0
61,1,z,0.4976886713124918,0
62,2,z,0.43776455539385833,0
63,3,z,0.5803914377315693,0
64,4,z,0.5710282421572582,0
65,5,z,0.5343408896181281,0
66,6,z,0.4686374483496824,0
67,7,z,0.4428675840363991,0
68,8,z,0.5388515120495078,0
69,9,z,0.5125708254385739,0
70,10,z,0.3700354064049929,0
71,11,z,0.5239143454962426,0
72,12,z,0.4899042167236959,0
73,13,z,0.4665571962082502,0
74,14,z,0.5545569833348496,0
75,0,z,0.4650034246187651,1
76,1,z,0.4824964169864601,1
77,2,z,0.4377154042845566,1
78,3,z,0.5358478272029121,1
79,4,z,0.5006721925841584,1
80,5,z,0.5550930000529648,1
81,6,z,0.4799604138776133,1
82,7,z,0.42578977019242326,1
83,8,z,0.5300730279448551,1
84,9,z,0.4821794838984319,1
85,10,z,0.39510733921100394,1
86,11,z,0.5331394715973881,1
87,12,z,0.502045743599471,1
88,13,z,0.45807749931118047,1
89,14,z,0.5138970158882569,1
90,0,z,0.5051137807680437,2
91,1,z,0.5868070811557552,2
92,2,z,0.4248983540544561,2
93,3,z,0.5536025275226818,2
94,4,z,0.4569913799754646,2
95,5,z,0.5829680621210843,2
96,6,z,0.49473806370335144,2
97,7,z,0.4313104414920119,2
98,8,z,0.5335435231661058,2
99,9,z,0.5407426324027858,2
100,10,z,0.4382883057244808,2
101,11,z,0.5664046616578045,2
102,12,z,0.3782517684509159,2
103,13,z,0.45282935293068033,2
104,14,z,0.5541832930948598,2
105,0,t,1.2610637719180595,
106,1,t,0.8379352779844066,
107,2,t,0.9065289940918838,
108,3,t,1.214299375813392,
109,4,t,0.9256073492279667,
110,5,t,0.6291624381701328,
111,6,t,1.1089700751030913,
112,7,t,1.4885223178758307,
113,8,t,1.056340041081876,
114,9,t,1.1836039393905535,
115,10,t,0.8324979074747287,
116,11,t,0.8266033869130898,
117,12,t,0.6603760925677311,
118,13,t,0.9429316543978046,
119,14,t,0.5138307163487691,
120,0,pmixturecoef,0.01,
121,1,pmixturecoef,0.01,
122,2,pmixturecoef,0.01,
123,3,pmixturecoef,0.01,
124,4,pmixturecoef,0.01,
125,5,pmixturecoef,0.01,
126,6,pmixturecoef,0.01,
127,7,pmixturecoef,0.01,
128,8,pmixturecoef,0.01,
129,9,pmixturecoef,0.01,
130,10,pmixturecoef,0.01,
131,11,pmixturecoef,0.01,
132,12,pmixturecoef,0.01,
133,13,pmixturecoef,0.01,
134,14,pmixturecoef,0.01,
135,0,rate,1.0,
136,1,rate,1.0,
137,2,rate,1.0,
138,3,rate,1.0,
139,4,rate,1.0,
140,5,rate,1.0,
141,6,rate,1.0,
142,7,rate,1.0,
143,8,rate,1.0,
144,9,rate,1.0,
145,10,rate,1.0,
146,11,rate,1.0,
147,12,rate,1.0,
148,13,rate,1.0,
149,14,rate,1.0,
150,0,bic,468.62534447967363,
151,1,bic,541.5448975487883,
152,2,bic,394.44200169605404,
153,3,bic,563.0998931261754,
154,4,bic,951.0475006635003,
155,5,bic,1298.4132729787882,
156,6,bic,488.1609691525264,
157,7,bic,176.24460701627692,
158,8,bic,-4.566192735462394,
159,9,bic,414.6301052850132,
160,10,bic,84.06409399542392,
161,11,bic,693.2682372179914,
162,12,bic,122.85054669689158,
163,13,bic,295.40149467489823,
164,14,bic,638.9170645990201,
