,subj_idx,variable,value,bin
0,0,v,0.48556065056813147,
1,1,v,0.6868962477414047,
2,2,v,0.9567891753639164,
3,3,v,0.787793438209929,
4,4,v,0.7751305717974333,
5,5,v,1.3416411663191952,
6,6,v,0.9127336516383173,
7,7,v,0.7242445418255565,
8,8,v,0.6568117186085309,
9,9,v,0.604240528665053,
10,10,v,1.2558839446788754,
11,11,v,0.6724633266510838,
12,12,v,0.39418815672925156,
13,13,v,0.5910765756416041,
14,14,v,0.6821695892650848,
15,15,v,0.5297868814998076,
16,16,v,0.801290457155865,
17,17,v,0.7335919461172198,
18,18,v,0.644421141633125,
19,19,v,0.5703925450905927,
20,20,v,0.4771750907879633,
21,21,v,0.7824612771793942,
22,22,v,0.9265292648397407,
23,23,v,0.9676700279499908,
24,0,b,-0.028371465516788326,0
25,1,b,-0.08763224311900575,0
26,2,b,0.11645700778593394,0
27,3,b,0.19069659570218778,0
28,4,b,0.19138090823427767,0
29,5,b,-0.8171631973937155,0
30,6,b,-0.6633726791836791,0
31,7,b,0.2332755293264277,0
32,8,b,-0.36892748262470076,0
33,9,b,0.1023588589375124,0
34,10,b,-0.21951062048772382,0
35,11,b,-0.21182733195914738,0
36,12,b,0.04687461445855301,0
37,13,b,0.299560556864995,0
38,14,b,-0.07363812482778632,0
39,15,b,-0.3894124368132379,0
40,16,b,0.055680068377809144,0
41,17,b,-0.6824278080170953,0
42,18,b,0.33342408628037346,0
43,19,b,-0.8514200560887325,0
44,20,b,-0.8069744638946014,0
45,21,b,-0.2809292286306181,0
46,22,b,-0.3804302259153386,0
47,23,b,-0.09442227253776192,0
48,0,b,-0.46158229855756017,1
49,1,b,-0.23165948637632494,1
50,2,b,0.20949356432842917,1
51,3,b,0.027840857060396074,1
52,4,b,-0.26875895408848327,1
53,5,b,0.1382656191483933,1
54,6,b,-0.307555961092551,1
55,7,b,0.13521805810374987,1
56,8,b,-0.37169457308341036,1
57,9,b,0.38293501963100773,1
58,10,b,-0.4242608497784196,1
59,11,b,-0.4744403420038662,1
60,12,b,0.41096865608802546,1
61,13,b,-0.041248626052959945,1
62,14,b,0.06332201627351831,1
63,15,b,-0.006933927212546306,1
64,16,b,0.020207949500762323,1
65,17,b,-0.47150755514234033,1
66,18,b,0.2043528259483301,1
67,19,b,-0.6746745285582889,1
68,20,b,-0.8822111518647552,1
69,21,b,-0.2521679659392151,1
70,22,b,-0.10800376824388114,1
71,23,b,-0.2524960073387428,1
72,0,b,-0.13656902291704517,2
73,1,b,0.0495089226705947,2
74,2,b,0.2324513232323416,2
75,3,b,0.4380105040822524,2
76,4,b,-0.09115165921103008,2
77,5,b,-0.9738563358037944,2
78,6,b,-0.10871024104902427,2
79,7,b,0.273470937041429,2
80,8,b,-0.49975728983483625,2
81,9,b,0.06856938066812868,2
82,10,b,-0.47208419424405723,2
83,11,b,-0.2737038469640979,2
84,12,b,0.2764031576855952,2
85,13,b,0.2843198385813505,2
86,14,b,0.08290224153791015,2
87,15,b,-0.10019514498052422,2
88,16,b,0.31323413806897626,2
89,17,b,0.04039632454868047,2
90,18,b,0.730638513367798,2
91,19,b,-0.31413856395625994,2
92,20,b,-0.828916773964663,2
93,21,b,0.40168960945270227,2
94,22,b,-0.4530759378268384,2
95,23,b,-0.44222933963736555,2
96,0,b,-0.17123645563637394,3
97,1,b,0.25920637715043715,3
98,2,b,-0.08513334657980913,3
99,3,b,-0.0031189350537919047,3
100,4,b,-0.3495167630521401,3
101,5,b,-0.42232825191697354,3
102,6,b,0.2573758620847122,3
103,7,b,0.00289320190661857,3
104,8,b,-0.5695185976776268,3
105,9,b,0.0891855066450431,3
106,10,b,-0.4353213019683706,3
107,11,b,-0.19778807707981738,3
108,12,b,0.3973308418007837,3
109,13,b,0.20599139699266814,3
110,14,b,0.05102376390837515,3
111,15,b,0.24338037515029617,3
112,16,b,0.01020931119872781,3
113,17,b,-0.14037227643690198,3
114,18,b,0.2511068731372522,3
115,19,b,-0.26652213349441567,3
116,20,b,-0.8871315653439954,3
117,21,b,-0.34814296789603516,3
118,22,b,-0.36685497510844156,3
119,23,b,-0.2512262442024227,3
120,0,b,-0.1432558582785309,4
121,1,b,0.34026569708987875,4
122,2,b,0.143381486412246,4
123,3,b,0.3411165964577434,4
124,4,b,-0.030493784674334168,4
125,5,b,-0.3850271990922266,4
126,6,b,-0.3123956339568523,4
127,7,b,0.6606679001069882,4
128,8,b,-0.6003494826550854,4
129,9,b,0.24965680982152239,4
130,10,b,-0.39102727498175555,4
131,11,b,-0.3549113937940729,4
132,12,b,-0.05307785892133432,4
133,13,b,-0.025077089009944875,4
134,14,b,0.25311244677927686,4
135,15,b,0.6142850854418576,4
136,16,b,0.3510151766300884,4
137,17,b,-0.003087538288479852,4
138,18,b,0.18365078065913668,4
139,19,b,-0.36374477315935516,4
140,20,b,-0.4183798036887737,4
141,21,b,0.009043021024519593,4
142,22,b,-0.4192294799257795,4
143,23,b,-0.04842213759019054,4
144,0,noise,1.0,
145,1,noise,1.0,
146,2,noise,1.0,
147,3,noise,1.0,
148,4,noise,1.0,
149,5,noise,1.0,
150,6,noise,1.0,
151,7,noise,1.0,
152,8,noise,1.0,
153,9,noise,1.0,
154,10,noise,1.0,
155,11,noise,1.0,
156,12,noise,1.0,
157,13,noise,1.0,
158,14,noise,1.0,
159,15,noise,1.0,
160,16,noise,1.0,
161,17,noise,1.0,
162,18,noise,1.0,
163,19,noise,1.0,
164,20,noise,1.0,
165,21,noise,1.0,
166,22,noise,1.0,
167,23,noise,1.0,
168,0,a,1.409999929096634,
169,1,a,1.4042802989830097,
170,2,a,0.6850000226986862,
171,3,a,1.2172818886039736,
172,4,a,1.2651770585464184,
173,5,a,0.3754379134023038,
174,6,a,1.1883646929507037,
175,7,a,1.288319514410666,
176,8,a,0.8492874464387754,
177,9,a,1.6256241984566744,
178,10,a,0.4750004009847106,
179,11,a,1.142547578535134,
180,12,a,1.2160289144424832,
181,13,a,0.9999998133718726,
182,14,a,0.8250001208646509,
183,15,a,2.3649999886773343,
184,16,a,1.313773462439155,
185,17,a,1.3840361044923473,
186,18,a,1.3249999789126048,
187,19,a,2.4747215714652953,
188,20,a,1.4008469701452748,
189,21,a,1.7149770637059722,
190,22,a,1.529703410522613,
